,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre_split,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
81,Shake Ya Tailfeather - Radio,Murphy's Law,"Murphy Lee, Nelly, Diddy",spotify:track:70JrLEkI7q8R0xkWI0YU96,0,295173,0.715,0.134,0.733,0.0,0.157,0.897,-7.068,0.262,87.665,1.0,4.0,"['dirty south rap', 'st louis rap', 'dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary', 'dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",0.0019304755,0.8710975,0.1269425,2.9600453e-05
82,Come Home with Me,Madness,Guy Sebastian,spotify:track:69YyPU1oElukhL5jgMi2wA,35,204400,0.706,0.00706,0.719,0.0,0.0377,0.495,-4.239,0.0573,126.112,2.0,4.0,"['australian pop', 'australian talent show']",0.022221861,0.6914328,0.2842042,0.002141248
83,Drop the Boy,Push (Deluxe Edition),Bros,spotify:track:40ay0VMg01sF2trze2DrNL,30,248066,0.553,0.00307,0.843,0.0,0.0818,0.834,-8.398,0.0489,177.113,7.0,4.0,"['new romantic', 'new wave pop']",0.39434496,0.055980172,0.5020998,0.047575053
84,See You Again (feat. Charlie Puth),Nine Track Mind,"Wiz Khalifa, Charlie Puth",spotify:track:66CFbqJScx6zRieGllITcs,62,229525,0.689,0.369,0.481,1.03e-06,0.0649,0.283,-7.503,0.0815,80.025,10.0,4.0,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'pop', 'viral pop']",0.2915369,0.08195527,0.55682015,0.069687635
86,50 Ways to Say Goodbye,California 37,Train,spotify:track:2NniAhAtkRACaMeYt48xlD,71,247946,0.591,0.000284,0.935,0.000278,0.142,0.736,-2.664,0.0478,140.043,6.0,4.0,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.02278929,0.666382,0.3004107,0.010418044
87,Counting Stars,Native,OneRepublic,spotify:track:5edBgVtRD0fvWk140Sl21T,15,257266,0.662,0.0603,0.71,0.0,0.119,0.465,-4.945,0.0364,121.979,1.0,4.0,"['piano rock', 'pop']",0.07468242,0.651291,0.21722339,0.05680313
88,House of the Rising Sun,On the Edge,Frijid Pink,spotify:track:6DU7X9yhp4xgkhNHJxgEOZ,33,269933,0.254,0.0006,0.761,0.0004,0.265,0.412,-3.744,0.0472,118.752,7.0,4.0,"['british blues', 'detroit rock', 'proto-metal', 'psychedelic blues-rock', 'psychedelic rock']",0.030042836,0.12328185,0.068638705,0.77803665
89,Do It Again,We Are The Night,The Chemical Brothers,spotify:track:6eypw7fGYBtYxD3dCE2pld,54,332973,0.867,0.0224,0.714,0.704,0.104,0.623,-5.144,0.0662,123.974,4.0,4.0,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']",0.38368323,0.26144198,0.07230179,0.28257295
90,Keep It Comin' Love,"KC & the Sunshine Band, Pt. 3... and More",KC & The Sunshine Band,spotify:track:0YWUf0FuvbOvAlrOAVaH8S,54,271493,0.773,0.232,0.721,1.61e-05,0.0349,0.971,-12.574,0.0294,110.383,3.0,4.0,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']",0.43346462,0.0075431205,0.45708758,0.101904616
91,Stay Awhile,Stay Awhile,The Bells,spotify:track:6Q25js1UmXo9I5HZJbZlRM,0,204333,0.558,0.791,0.268,0.00488,0.0863,0.432,-17.915,0.0299,84.559,11.0,4.0,['classic canadian rock'],0.56775135,1.3539495e-06,0.017944714,0.41430262
92,Me Myself & I,Startin' Somethin',Scandal'us,spotify:track:6SCsRA5HxLfOtN4sQN2Lkl,0,187493,0.709,0.103,0.869,0.0,0.0769,0.773,-3.209,0.124,99.906,1.0,4.0,['australian pop'],0.0067210584,0.7342259,0.25870016,0.00035294401
93,Be the One,Dua Lipa (Deluxe),Dua Lipa,spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,69,202914,0.661,0.117,0.651,1.32e-05,0.056,0.368,-3.771,0.0499,87.46,7.0,4.0,"['dance pop', 'pop', 'uk pop']",0.026494289,0.6365906,0.33034202,0.0065730787
94,Don't You Worry Child - Radio Edit,Don't You Worry Child,"Swedish House Mafia, John Martin",spotify:track:2V65y3PX4DkRhy1djlxd9p,85,212862,0.612,0.112,0.84,0.0,0.116,0.438,-3.145,0.0509,129.042,11.0,4.0,"['edm', 'pop dance', 'progressive electro house', 'pop edm']",0.007734918,0.6927855,0.29472846,0.0047510145
